[2024-11-22T11:45:52.577+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-22T11:45:52.593+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insert_stocknames_table.insert_to_db manual__2024-11-22T11:45:47.931018+00:00 [queued]>
[2024-11-22T11:45:52.602+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insert_stocknames_table.insert_to_db manual__2024-11-22T11:45:47.931018+00:00 [queued]>
[2024-11-22T11:45:52.603+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-22T11:45:52.807+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): insert_to_db> on 2024-11-22 11:45:47.931018+00:00
[2024-11-22T11:45:52.817+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=820) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-11-22T11:45:52.819+0000] {standard_task_runner.py:72} INFO - Started process 822 to run task
[2024-11-22T11:45:52.819+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'insert_stocknames_table', 'insert_to_db', 'manual__2024-11-22T11:45:47.931018+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/insert_stocknames.py', '--cfg-path', '/tmp/tmpfn7w_b5d']
[2024-11-22T11:45:52.820+0000] {standard_task_runner.py:105} INFO - Job 26: Subtask insert_to_db
[2024-11-22T11:45:52.866+0000] {task_command.py:467} INFO - Running <TaskInstance: insert_stocknames_table.insert_to_db manual__2024-11-22T11:45:47.931018+00:00 [running]> on host b1cd3ec251f1
[2024-11-22T11:45:52.951+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='insert_stocknames_table' AIRFLOW_CTX_TASK_ID='insert_to_db' AIRFLOW_CTX_EXECUTION_DATE='2024-11-22T11:45:47.931018+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-22T11:45:47.931018+00:00'
[2024-11-22T11:45:52.953+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-11-22T11:45:52.953+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-11-22T11:45:52.954+0000] {logging_mixin.py:190} INFO - Current task name:insert_to_db state:running start_date:2024-11-22 11:45:52.594260+00:00
[2024-11-22T11:45:52.954+0000] {logging_mixin.py:190} INFO - Dag name:insert_stocknames_table and current dag run status:running
[2024-11-22T11:45:52.954+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-22T11:45:52.965+0000] {logging_mixin.py:190} INFO - 06N 06MAGNA
[2024-11-22T11:45:52.966+0000] {logging_mixin.py:190} INFO - 08N 08OCTAVA
[2024-11-22T11:45:52.966+0000] {logging_mixin.py:190} INFO - 11B 11BIT
[2024-11-22T11:45:52.966+0000] {logging_mixin.py:190} INFO - 1AT ATAL
[2024-11-22T11:45:52.967+0000] {logging_mixin.py:190} INFO - 3RG 3RGAMES
[2024-11-22T11:45:52.967+0000] {logging_mixin.py:190} INFO - AAT ALTA
[2024-11-22T11:45:52.968+0000] {logging_mixin.py:190} INFO - ABE ABPL
[2024-11-22T11:45:52.968+0000] {logging_mixin.py:190} INFO - ABS ASSECOBS
[2024-11-22T11:45:52.968+0000] {logging_mixin.py:190} INFO - ACG ACAUTOGAZ
[2024-11-22T11:45:52.969+0000] {logging_mixin.py:190} INFO - ACP ASSECOPOL
[2024-11-22T11:45:52.969+0000] {logging_mixin.py:190} INFO - ACT ACTION
[2024-11-22T11:45:52.969+0000] {logging_mixin.py:190} INFO - ADV ADIUVO
[2024-11-22T11:45:52.970+0000] {logging_mixin.py:190} INFO - AGO AGORA
[2024-11-22T11:45:52.970+0000] {logging_mixin.py:190} INFO - AGT AGROTON
[2024-11-22T11:45:52.970+0000] {logging_mixin.py:190} INFO - AIN ABSINVEST
[2024-11-22T11:45:52.971+0000] {logging_mixin.py:190} INFO - ALE ALLEGRO
[2024-11-22T11:45:52.971+0000] {logging_mixin.py:190} INFO - ALG AIGAMES
[2024-11-22T11:45:52.971+0000] {logging_mixin.py:190} INFO - ALI ALTUS
[2024-11-22T11:45:52.971+0000] {logging_mixin.py:190} INFO - ALL AILLERON
[2024-11-22T11:45:52.972+0000] {logging_mixin.py:190} INFO - ALR ALIOR
[2024-11-22T11:45:52.972+0000] {logging_mixin.py:190} INFO - AMB AMBRA
[2024-11-22T11:45:52.973+0000] {logging_mixin.py:190} INFO - AMC AMICA
[2024-11-22T11:45:52.973+0000] {logging_mixin.py:190} INFO - ANR ANSWEAR
[2024-11-22T11:45:52.973+0000] {logging_mixin.py:190} INFO - APE APSENERGY
[2024-11-22T11:45:52.974+0000] {logging_mixin.py:190} INFO - APL AMPLI
[2024-11-22T11:45:52.974+0000] {logging_mixin.py:190} INFO - APN APLISENS
[2024-11-22T11:45:52.975+0000] {logging_mixin.py:190} INFO - APR AUTOPARTN
[2024-11-22T11:45:52.975+0000] {logging_mixin.py:190} INFO - APT APATOR
[2024-11-22T11:45:52.975+0000] {logging_mixin.py:190} INFO - ARH ARCHICOM
[2024-11-22T11:45:52.976+0000] {logging_mixin.py:190} INFO - ART ARTIFEX
[2024-11-22T11:45:52.976+0000] {logging_mixin.py:190} INFO - ASB ASBIS
[2024-11-22T11:45:52.976+0000] {logging_mixin.py:190} INFO - ASE ASSECOSEE
[2024-11-22T11:45:52.977+0000] {logging_mixin.py:190} INFO - ASM ASMGROUP
[2024-11-22T11:45:52.977+0000] {logging_mixin.py:190} INFO - AST ASTARTA
[2024-11-22T11:45:52.977+0000] {logging_mixin.py:190} INFO - ATC ARCTIC
[2024-11-22T11:45:52.978+0000] {logging_mixin.py:190} INFO - ATD ATENDE
[2024-11-22T11:45:52.978+0000] {logging_mixin.py:190} INFO - ATG ATMGRUPA
[2024-11-22T11:45:52.978+0000] {logging_mixin.py:190} INFO - ATP ATLANTAPL
[2024-11-22T11:45:52.979+0000] {logging_mixin.py:190} INFO - ATR ATREM
[2024-11-22T11:45:52.979+0000] {logging_mixin.py:190} INFO - ATS ATLANTIS
[2024-11-22T11:45:52.979+0000] {logging_mixin.py:190} INFO - ATT GRUPAAZOTY
[2024-11-22T11:45:52.979+0000] {logging_mixin.py:190} INFO - AWM AIRWAY
[2024-11-22T11:45:52.980+0000] {logging_mixin.py:190} INFO - B24 BRAND24
[2024-11-22T11:45:52.980+0000] {logging_mixin.py:190} INFO - BBD BBIDEV
[2024-11-22T11:45:52.980+0000] {logging_mixin.py:190} INFO - BBT BOOMBIT
[2024-11-22T11:45:52.981+0000] {logging_mixin.py:190} INFO - BCM BETACOM
[2024-11-22T11:45:52.981+0000] {logging_mixin.py:190} INFO - BCS BIGCHEESE
[2024-11-22T11:45:52.981+0000] {logging_mixin.py:190} INFO - BCX BIOCELTIX
[2024-11-22T11:45:52.982+0000] {logging_mixin.py:190} INFO - BDX BUDIMEX
[2024-11-22T11:45:52.982+0000] {logging_mixin.py:190} INFO - BDZ BEDZIN
[2024-11-22T11:45:52.982+0000] {logging_mixin.py:190} INFO - BFC BIOFACTOR
[2024-11-22T11:45:52.983+0000] {logging_mixin.py:190} INFO - BFT BENEFIT
[2024-11-22T11:45:52.983+0000] {logging_mixin.py:190} INFO - BHW HANDLOWY
[2024-11-22T11:45:52.983+0000] {logging_mixin.py:190} INFO - BIO BIOTON
