[2024-11-22T11:44:01.583+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-22T11:44:01.598+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insert_stocknames_table.import_stocknames manual__2024-11-22T11:43:59.121108+00:00 [queued]>
[2024-11-22T11:44:01.605+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insert_stocknames_table.import_stocknames manual__2024-11-22T11:43:59.121108+00:00 [queued]>
[2024-11-22T11:44:01.606+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-22T11:44:01.783+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): import_stocknames> on 2024-11-22 11:43:59.121108+00:00
[2024-11-22T11:44:01.792+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=787) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-11-22T11:44:01.794+0000] {standard_task_runner.py:72} INFO - Started process 789 to run task
[2024-11-22T11:44:01.795+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'insert_stocknames_table', 'import_stocknames', 'manual__2024-11-22T11:43:59.121108+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/insert_stocknames.py', '--cfg-path', '/tmp/tmpyrduhz9o']
[2024-11-22T11:44:01.796+0000] {standard_task_runner.py:105} INFO - Job 23: Subtask import_stocknames
[2024-11-22T11:44:01.835+0000] {task_command.py:467} INFO - Running <TaskInstance: insert_stocknames_table.import_stocknames manual__2024-11-22T11:43:59.121108+00:00 [running]> on host b1cd3ec251f1
[2024-11-22T11:44:01.908+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='insert_stocknames_table' AIRFLOW_CTX_TASK_ID='import_stocknames' AIRFLOW_CTX_EXECUTION_DATE='2024-11-22T11:43:59.121108+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-22T11:43:59.121108+00:00'
[2024-11-22T11:44:01.909+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-11-22T11:44:01.910+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-11-22T11:44:01.910+0000] {logging_mixin.py:190} INFO - Current task name:import_stocknames state:running start_date:2024-11-22 11:44:01.599191+00:00
[2024-11-22T11:44:01.911+0000] {logging_mixin.py:190} INFO - Dag name:insert_stocknames_table and current dag run status:running
[2024-11-22T11:44:01.911+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-22T11:44:02.852+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.853+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.853+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.854+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.854+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.854+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.855+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.855+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.856+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.856+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.856+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.857+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.857+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.857+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.857+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.858+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.858+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.858+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.859+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.859+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.859+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.860+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.860+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.860+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.861+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.861+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.861+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.862+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.862+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.862+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.863+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.863+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.863+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.863+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.864+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.864+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.864+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.865+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.865+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.865+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.865+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.866+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.866+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.866+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.867+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.867+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.867+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.868+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.868+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.868+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.868+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.869+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.869+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.869+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.870+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.870+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.870+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.871+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.871+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.871+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.872+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.872+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.872+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.873+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.873+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.873+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.873+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.874+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.874+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.874+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.875+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.875+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.875+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.875+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.876+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.876+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.876+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.877+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.877+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.877+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.877+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.878+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.878+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.878+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.879+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.879+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.879+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.879+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.880+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.880+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.880+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
[2024-11-22T11:44:02.881+0000] {operator_helpers.py:268} WARNING - Ignoring unknown data of <class 'tuple'> received from task
